season,team_1,team_2,home,seed_diff,score_diff,score_1,score_2,won,pred
1985,5212,10020,0,7,-4,55,59,0,9.956243
1985,6281,10020,0,6,-12,44,56,0,6.015619
1985,8746,10088,0,1,3,60,57,1,-7.082052
1985,4264,10366,0,-7,8,66,58,1,-0.167065
1985,3166,10564,0,5,8,67,59,1,6.958953
1986,5213,40,0,13,6,70,64,1,23.802879
1986,3746,74,0,1,-2,56,58,0,4.786426
1986,4265,74,0,4,5,68,63,1,5.873775
1986,10787,74,0,-7,-17,80,97,0,-7.264537
1986,514,289,0,1,10,73,63,1,3.810057
1986,5930,357,0,8,14,80,66,1,17.018486
1986,6543,357,0,11,-7,83,90,0,18.366654
1986,289,514,0,-1,-10,63,73,0,-3.810057
1986,4597,514,0,6,8,84,76,1,6.074496
1986,8406,514,0,7,-16,65,81,0,4.336848
1986,9630,514,0,4,-7,63,70,0,0.539847
1986,5078,589,0,11,32,95,63,1,18.714734
1986,4597,867,0,5,14,82,68,1,10.145854
1986,9848,867,0,-3,-18,65,83,0,-1.779581
1986,8663,909,0,13,49,101,52,1,28.979759
1986,3819,1551,0,11,-4,79,83,0,6.254927
1986,5851,1551,0,7,1,71,70,1,-0.242273
1986,8440,1551,0,8,-6,69,75,0,-5.319121
1986,4265,2049,0,15,20,75,55,1,21.611013
1986,2341,2205,0,11,7,74,67,1,12.390629
1986,6665,2205,0,8,-5,69,74,0,8.580514
1986,10055,2205,0,7,-4,68,72,0,5.457
1986,4597,2307,0,13,20,93,73,1,27.736386
1986,2205,2341,0,-11,-7,67,74,0,-12.390629
1986,4150,2341,0,0,-4,67,71,0,0.599356
1986,4597,2341,0,-1,3,72,69,1,-2.625987
1986,5652,2341,0,-15,-7,78,85,0,-29.071486
1986,5851,2341,0,-6,-21,50,71,0,-9.68747
1986,6733,2341,0,-7,-28,61,89,0,-12.196324
1986,3746,2710,0,9,24,75,51,1,24.445944
1986,5247,3133,0,-1,12,80,68,1,1.998905
1986,8985,3133,0,-9,-6,64,70,0,-14.594543
1986,4733,3235,0,-9,6,70,64,1,-9.329669
1986,4840,3235,0,-13,-15,53,68,0,-31.307733
1986,10021,3235,0,-8,-5,61,66,0,-14.288034
1986,74,3746,0,-1,2,58,56,1,-4.786426
1986,2710,3746,0,-9,-24,51,75,0,-24.445944
1986,1551,3819,0,-11,4,83,79,1,-6.254927
1986,5930,3921,0,5,2,66,64,1,1.018772
1986,5179,3955,0,-3,-2,79,81,0,-7.210018
1986,5213,3955,0,5,-3,69,72,0,8.588507
1986,5930,3955,0,1,4,70,66,1,2.802964
1986,8747,4059,0,-1,11,61,50,1,-1.543323
1986,2341,4150,0,0,4,71,67,1,-0.599356
1986,5247,4150,0,-4,-10,86,96,0,-2.756724
1986,5885,4150,0,-15,-25,46,71,0,-31.165149
1986,5930,4150,0,-5,-8,67,75,0,-5.76172
1986,8747,4150,0,-8,-22,43,65,0,-13.671392
1986,74,4265,0,-4,-5,63,68,0,-5.873775
1986,2049,4265,0,-15,-20,55,75,0,-21.611013
1986,4733,4265,0,-10,2,59,57,1,-7.999633
1986,10225,4265,0,-7,-7,64,71,0,-11.323427
1986,514,4597,0,-6,-8,76,84,0,-6.074496
1986,867,4597,0,-5,-14,68,82,0,-10.145854
1986,2307,4597,0,-13,-20,73,93,0,-27.736386
1986,2341,4597,0,1,-3,69,72,0,2.625987
1986,4733,4597,0,-9,-11,77,88,0,-5.846143
1986,6282,4597,0,-1,-15,79,94,0,7.511272
1986,3235,4733,0,9,-6,64,70,0,9.329669
1986,4265,4733,0,10,-2,57,59,0,7.999633
1986,4597,4733,0,9,11,88,77,1,5.846143
1986,5078,4733,0,8,-2,81,83,0,5.334295
1986,7202,4733,0,5,-7,87,94,0,2.337299
1986,3235,4840,0,13,15,68,53,1,31.307733
1986,6967,4942,0,-7,-5,64,69,0,-7.291085
1986,9630,4942,0,1,6,70,64,1,-1.470094
1986,589,5078,0,-11,-32,63,95,0,-18.714734
1986,4733,5078,0,-8,2,83,81,1,-5.334295
1986,3955,5179,0,3,2,81,79,1,7.210018
1986,40,5213,0,-13,-6,64,70,0,-23.802879
1986,3955,5213,0,-5,3,72,69,1,-8.588507
1986,3133,5247,0,1,-12,68,80,0,-1.998905
1986,4150,5247,0,4,10,96,86,1,2.756724
1986,10367,5247,0,-7,-2,70,72,0,-12.133275
1986,9270,5383,0,5,2,66,64,1,1.02521
1986,8406,5548,0,15,9,83,74,1,17.476935
1986,2341,5652,0,15,7,85,78,1,29.071486
1986,1551,5851,0,-7,-1,70,71,0,0.242273
1986,2341,5851,0,6,21,71,50,1,9.68747
1986,8663,5851,0,5,-12,85,97,0,9.296217
1986,9168,5851,0,-3,-19,68,87,0,-1.933236
1986,4150,5885,0,15,25,71,46,1,31.165149
1986,357,5930,0,-8,-14,66,80,0,-17.018486
1986,3921,5930,0,-5,-2,64,66,0,-1.018772
1986,3955,5930,0,-1,-4,66,70,0,-2.802964
1986,4150,5930,0,5,8,75,67,1,5.76172
1986,10225,5979,0,1,8,67,59,1,-1.220119
1986,4597,6282,0,1,15,94,79,1,-7.511272
1986,9270,6282,0,-3,-18,59,77,0,-13.583555
1986,9766,6282,0,-11,-12,72,84,0,-23.510561
1986,6665,6373,0,9,6,80,74,1,15.200898
1986,357,6543,0,-11,7,90,83,1,-18.366654
1986,2205,6665,0,-8,5,74,69,1,-8.580514
1986,6373,6665,0,-9,-6,74,80,0,-15.200898
1986,2341,6733,0,7,28,89,61,1,12.196324
1986,10469,6733,0,-1,-8,64,72,0,-2.443261
1986,4942,6967,0,7,5,69,64,1,7.291085
1986,4733,7202,0,-5,7,94,87,1,-2.337299
1986,8440,7358,0,5,1,60,59,1,-0.537674
1986,514,8406,0,-7,16,81,65,1,-4.336848
1986,5548,8406,0,-15,-9,74,83,0,-17.476935
1986,1551,8440,0,-8,6,75,69,1,5.319121
1986,7358,8440,0,-5,-1,59,60,0,0.537674
1986,909,8663,0,-13,-49,52,101,0,-28.979759
1986,5851,8663,0,-5,12,97,85,1,-9.296217
1986,4059,8747,0,1,-11,50,61,0,1.543323
1986,4150,8747,0,8,22,65,43,1,13.671392
1986,3133,8985,0,9,6,70,64,1,14.594543
1986,5851,9168,0,3,19,87,68,1,1.933236
1986,5383,9270,0,-5,-2,64,66,0,-1.02521
1986,6282,9270,0,3,18,77,59,1,13.583555
1986,9630,9471,0,9,23,74,51,1,9.0578
1986,514,9630,0,-4,7,70,63,1,-0.539847
1986,4942,9630,0,-1,-6,64,70,0,1.470094
1986,9471,9630,0,-9,-23,51,74,0,-9.0578
1986,6282,9766,0,11,12,84,72,1,23.510561
1986,867,9848,0,3,18,83,65,1,1.779581
1986,3235,10021,0,8,5,66,61,1,14.288034
1986,10089,10021,0,3,-9,62,71,0,2.675896
1986,2205,10055,0,-7,4,72,68,1,-5.457
1986,10021,10089,0,-3,9,71,62,1,-2.675896
1986,4265,10225,0,7,7,71,64,1,11.323427
1986,5979,10225,0,-1,-8,59,67,0,1.220119
1986,5247,10367,0,7,2,72,70,1,12.133275
1986,6733,10469,0,1,8,72,64,1,2.443261
1986,74,10787,0,7,17,97,80,1,7.264537
1987,5886,75,0,-13,-17,71,88,0,-20.783956
1987,6150,75,0,-5,-25,76,101,0,-8.327515
1987,7169,75,0,-4,21,103,82,1,-5.876588
1987,9849,290,0,3,7,98,91,1,-3.959627
1987,3820,515,0,7,17,107,90,1,5.659979
1987,7661,515,0,-1,-1,61,62,0,-6.006384
1987,3747,556,0,11,-1,67,68,0,17.151764
1987,7169,556,0,8,3,90,87,1,12.579056
1987,3134,954,0,15,22,75,53,1,23.534179
1987,6150,1049,0,3,4,83,79,1,2.171131
1987,9404,1083,0,9,19,92,73,1,6.884623
1987,5447,1518,0,-9,5,65,60,1,-8.093263
1987,4564,2206,0,-11,-14,62,76,0,-9.061149
1987,4734,2206,0,-7,5,63,58,1,-5.253876
1987,8407,2206,0,-3,-8,75,83,0,-3.102589
1987,3820,2342,0,4,6,88,82,1,2.316134
1987,8918,2342,0,-7,-7,51,58,0,-12.539338
1987,10788,2342,0,-8,-5,60,65,0,-17.088915
1987,3820,2711,0,15,34,92,58,1,23.983864
1987,5931,2781,0,-5,-12,70,82,0,-8.687478
1987,7203,2781,0,3,-19,66,85,0,-1.206008
1987,8664,2781,0,4,6,87,81,1,-3.227757
1987,8664,3050,0,13,6,79,73,1,22.248813
1987,954,3134,0,-15,-22,53,75,0,-23.534179
1987,4151,3134,0,-4,-13,57,70,0,-3.986377
1987,6631,3134,0,-8,-3,79,82,0,-2.823379
1987,7169,3134,0,-5,15,88,73,1,-3.117067
1987,4185,3168,0,-1,3,82,79,1,-1.112305
1987,4734,3236,0,-3,6,85,79,1,-0.700507
1987,4151,3561,0,7,11,66,55,1,0.883427
1987,9631,3679,0,15,25,95,70,1,24.29986
1987,556,3747,0,-11,1,68,67,1,-17.151764
1987,515,3820,0,-7,-17,90,107,0,-5.659979
1987,2342,3820,0,-4,-6,82,88,0,-2.316134
1987,2711,3820,0,-15,-34,58,92,0,-23.983864
1987,4734,3820,0,-9,-1,76,77,0,-9.088182
1987,8664,3820,0,-1,-1,73,74,0,-3.235039
1987,9631,3820,0,0,-4,93,97,0,3.126168
1987,6666,3922,0,-4,-2,91,93,0,-4.231099
1987,7830,3922,0,-13,-23,76,99,0,-17.613278
1987,9631,3922,0,1,3,84,81,1,2.463484
1987,9849,3922,0,-5,-2,82,84,0,-10.649683
1987,3134,4151,0,4,13,70,57,1,3.986377
1987,3561,4151,0,-7,-11,55,66,0,-0.883427
1987,5447,4151,0,-8,-4,63,67,0,-4.154437
1987,3168,4185,0,1,-3,79,82,0,1.112305
1987,9631,4185,0,8,19,80,61,1,12.739033
1987,6631,4266,0,-1,14,91,77,1,2.606612
1987,2206,4564,0,11,14,76,62,1,9.061149
1987,2206,4734,0,7,-5,58,63,0,5.253876
1987,3236,4734,0,3,-6,79,85,0,0.700507
1987,3820,4734,0,9,1,77,76,1,9.088182
1987,8748,4734,0,8,-10,62,72,0,2.430853
1987,7002,4841,0,11,25,93,68,1,19.791405
1987,8714,4909,0,9,16,76,60,1,9.80587
1987,5852,5214,0,1,-15,82,97,0,-5.551425
1987,6283,5214,0,8,12,109,97,1,10.222691
1987,10788,5384,0,-9,1,70,69,1,-10.75671
1987,1518,5447,0,9,-5,60,65,0,8.093263
1987,4151,5447,0,8,4,67,63,1,4.154437
1987,6544,5717,0,7,13,84,71,1,7.629333
1987,5214,5852,0,-1,15,97,82,1,5.551425
1987,75,5886,0,13,17,88,71,1,20.783956
1987,2781,5931,0,5,12,82,70,1,8.687478
1987,75,6150,0,5,25,101,76,1,8.327515
1987,1049,6150,0,-3,-4,79,83,0,-2.171131
1987,5214,6283,0,-8,-12,97,109,0,-10.222691
1987,6544,6283,0,-4,-6,68,74,0,-13.796157
1987,6900,6283,0,-15,-31,82,113,0,-25.178285
1987,8664,6283,0,-1,4,79,75,1,-8.169713
1987,7203,6374,0,11,9,104,95,1,15.317928
1987,5717,6544,0,-7,-13,71,84,0,-7.629333
1987,6283,6544,0,4,6,74,68,1,13.796157
1987,8714,6544,0,1,-1,57,58,0,1.548999
1987,3134,6631,0,8,3,82,79,1,2.823379
1987,4266,6631,0,1,-14,77,91,0,-2.606612
1987,3922,6666,0,4,2,93,91,1,4.231099
1987,7002,6666,0,3,-3,93,96,0,-0.21956
1987,9169,6666,0,-5,-5,69,74,0,-7.223925
1987,6283,6900,0,15,31,113,82,1,25.178285
1987,4841,7002,0,-11,-25,68,93,0,-19.791405
1987,6666,7002,0,-3,3,96,93,1,0.21956
1987,75,7169,0,4,-21,82,103,0,5.876588
1987,556,7169,0,-8,-3,87,90,0,-12.579056
1987,3134,7169,0,5,-15,73,88,0,3.117067
1987,8664,7169,0,4,14,77,63,1,2.802023
1987,9271,7169,0,-5,-22,68,90,0,-8.897994
1987,2781,7203,0,-3,19,85,66,1,1.206008
1987,6374,7203,0,-11,-9,95,104,0,-15.317928
1987,515,7661,0,1,1,62,61,1,6.006384
1987,3922,7830,0,13,23,99,76,1,17.613278
1987,8748,8241,0,13,19,75,56,1,16.191943
1987,2206,8407,0,3,8,83,75,1,3.102589
1987,10566,8407,0,-5,-2,55,57,0,-6.225706
1987,2781,8664,0,-4,-6,81,87,0,3.227757
1987,3050,8664,0,-13,-6,73,79,0,-22.248813
1987,3820,8664,0,1,1,74,73,1,3.235039
1987,6283,8664,0,1,-4,75,79,0,8.169713
1987,7169,8664,0,-4,-14,63,77,0,-2.802023
1987,10226,8664,0,-8,-18,86,104,0,-3.526832
1987,4909,8714,0,-9,-16,60,76,0,-9.80587
1987,6544,8714,0,-1,1,58,57,1,-1.548999
1987,4734,8748,0,-8,10,72,62,1,-2.430853
1987,8241,8748,0,-13,-19,56,75,0,-16.191943
1987,2342,8918,0,7,7,58,51,1,12.539338
1987,6666,9169,0,5,5,74,69,1,7.223925
1987,7169,9271,0,5,22,90,68,1,8.897994
1987,1083,9404,0,-9,-19,73,92,0,-6.884623
1987,10754,9404,0,-8,10,78,68,1,-6.764246
1987,3679,9631,0,-15,-25,70,95,0,-24.29986
1987,3820,9631,0,0,4,97,93,1,-3.126168
1987,3922,9631,0,-1,-3,81,84,0,-2.463484
1987,4185,9631,0,-8,-19,61,80,0,-12.739033
1987,10754,9631,0,-11,-14,78,92,0,-16.534038
1987,290,9849,0,-3,-7,91,98,0,3.959627
1987,3922,9849,0,5,2,84,82,1,10.649683
1987,10754,10056,0,-7,4,64,60,1,-7.584209
1987,8664,10226,0,8,18,104,86,1,3.526832
1987,10470,10226,0,3,-2,62,64,0,-3.062072
1987,10226,10470,0,-3,2,64,62,1,3.062072
1987,8407,10566,0,5,2,57,55,1,6.225706
1987,9404,10754,0,8,-10,68,78,0,6.764246
1987,9631,10754,0,11,14,92,78,1,16.534038
1987,10056,10754,0,7,-4,60,64,0,7.584209
1987,2342,10788,0,8,5,65,60,1,17.088915
1987,5384,10788,0,9,-1,69,70,0,10.75671
1988,1849,291,0,-15,-40,50,90,0,-33.274847
1988,3923,291,0,-4,-20,79,99,0,-5.923629
1988,6284,291,0,-1,-18,52,70,0,-9.159789
1988,6667,291,0,0,8,86,78,1,1.694711
1988,7962,291,0,-7,-29,55,84,0,-13.349345
1988,10023,413,0,5,8,82,74,1,1.713901
1988,869,516,0,-1,-4,86,90,0,-1.474115
1988,6667,516,0,7,20,107,87,1,15.051497
1988,5080,625,0,-1,15,75,60,1,3.341139
1988,5215,733,0,11,5,63,58,1,10.910279
1988,2343,801,0,13,16,85,69,1,24.152516
1988,516,869,0,1,4,90,86,1,1.474115
1988,1349,1050,0,-9,-6,92,98,0,-10.471233
1988,4599,1050,0,-1,21,97,76,1,0.910515
1988,1050,1349,0,9,6,98,92,1,10.471233
1988,6667,1383,0,15,28,94,66,1,31.781282
1988,291,1849,0,15,40,90,50,1,33.274847
1988,4186,2207,0,1,8,66,58,1,4.005703
1988,10567,2207,0,-7,-21,62,83,0,-3.455609
1988,801,2343,0,-13,-16,69,85,0,-24.152516
1988,4152,2343,0,-4,7,66,59,1,-10.233186
1988,7292,2343,0,-9,-1,72,73,0,-16.005832
1988,8062,2343,0,-5,-15,79,94,0,-13.035382
1988,8749,2343,0,1,-10,53,63,0,-6.415183
1988,7003,2479,0,13,18,108,90,1,15.357198
1988,7204,2678,0,15,15,94,79,1,26.937854
1988,5215,2782,0,3,23,108,85,1,7.478616
1988,8408,2782,0,-5,-3,59,62,0,-3.495197
1988,3923,2881,0,7,4,102,98,1,10.580219
1988,4735,3135,0,-1,-3,63,66,0,-3.291695
1988,8749,3135,0,7,21,74,53,1,2.939428
1988,3957,3237,0,-7,-12,78,90,0,-1.093963
1988,7360,3237,0,-8,4,59,55,1,-11.10567
1988,9734,3748,0,-11,-9,72,81,0,-18.848682
1988,10023,3748,0,-3,3,66,63,1,-9.061908
1988,7360,3821,0,-9,3,72,69,1,-15.291874
1988,291,3923,0,4,20,99,79,1,5.923629
1988,2881,3923,0,-7,-4,98,102,0,-10.580219
1988,9632,3923,0,1,-18,86,104,0,-3.898001
1988,3237,3957,0,7,12,90,78,1,1.093963
1988,2343,4152,0,4,-7,59,66,0,10.233186
1988,4186,4152,0,2,-13,58,71,0,1.753567
1988,5752,4152,0,-8,-3,58,61,0,-10.556774
1988,6667,4152,0,5,-4,79,83,0,15.833785
1988,9955,4152,0,-1,-13,64,77,0,0.520233
1988,10789,4152,0,-5,-13,72,85,0,-3.848406
1988,2207,4186,0,-1,-8,58,66,0,-4.005703
1988,4152,4186,0,-2,13,71,58,1,-1.753567
1988,4301,4186,0,-9,-13,53,66,0,-10.098273
1988,7204,4186,0,3,-3,70,73,0,6.586847
1988,4944,4267,0,-5,-9,81,90,0,-8.028794
1988,8242,4267,0,-13,-15,84,99,0,-18.523709
1988,10023,4267,0,-4,6,80,74,1,-6.576106
1988,4186,4301,0,9,13,66,53,1,10.098273
1988,8749,4403,0,15,14,87,73,1,19.629275
1988,1050,4599,0,1,-21,76,97,0,-0.910515
1988,6667,4599,0,4,10,108,98,1,14.572598
1988,6833,4599,0,-7,-9,61,70,0,-4.04929
1988,6284,4633,0,8,26,123,97,1,5.077313
1988,10755,4633,0,3,-4,115,119,0,1.149895
1988,3135,4735,0,1,3,66,63,1,3.291695
1988,4267,4944,0,5,9,90,81,1,8.028794
1988,7797,4944,0,-3,-10,82,92,0,-1.230893
1988,625,5080,0,1,-15,60,75,0,-3.341139
1988,7204,5080,0,8,27,100,73,1,12.15996
1988,733,5215,0,-11,-5,58,63,0,-10.910279
1988,2782,5215,0,-3,-23,85,108,0,-7.478616
1988,6284,5215,0,1,9,78,69,1,-3.854837
1988,7292,5385,0,-5,7,87,80,1,-10.206046
1988,9632,5448,0,9,4,54,50,1,11.040252
1988,4152,5752,0,8,3,61,58,1,10.556774
1988,5932,5752,0,11,-3,75,78,0,14.483452
1988,8665,5887,0,11,14,69,55,1,20.780411
1988,5752,5932,0,-11,3,78,75,1,-14.483452
1988,291,6284,0,1,18,70,52,1,9.159789
1988,4633,6284,0,-8,-26,97,123,0,-5.077313
1988,5215,6284,0,-1,-9,69,78,0,3.854837
1988,6341,6284,0,-13,-18,65,83,0,-17.287695
1988,6284,6341,0,13,18,83,65,1,17.287695
1988,8062,6545,0,3,8,83,75,1,-1.465493
1988,291,6667,0,0,-8,78,86,0,-1.694711
1988,516,6667,0,-7,-20,87,107,0,-15.051497
1988,1383,6667,0,-15,-28,66,94,0,-31.781282
1988,4152,6667,0,-5,4,83,79,1,-15.833785
1988,4599,6667,0,-4,-10,98,108,0,-14.572598
1988,10023,6667,0,-5,-19,59,78,0,-16.480512
1988,4599,6833,0,7,9,70,61,1,4.04929
1988,2479,7003,0,-13,-18,90,108,0,-15.357198
1988,9955,7003,0,-5,6,80,74,1,-2.695333
1988,2678,7204,0,-15,-15,79,94,0,-26.937854
1988,4186,7204,0,-3,3,73,70,1,-6.586847
1988,5080,7204,0,-8,-27,73,100,0,-12.15996
1988,2343,7292,0,9,1,73,72,1,16.005832
1988,5385,7292,0,5,-7,80,87,0,10.206046
1988,8665,7292,0,8,-3,94,97,0,15.116548
1988,3237,7360,0,8,-4,55,59,0,11.10567
1988,3821,7360,0,9,-3,69,72,0,15.291874
1988,8749,7360,0,12,22,69,47,1,14.698137
1988,4944,7797,0,3,10,92,82,1,1.230893
1988,291,7962,0,7,29,84,55,1,13.349345
1988,9850,7962,0,-1,-16,64,80,0,-4.052266
1988,2343,8062,0,5,15,94,79,1,13.035382
1988,6545,8062,0,-3,-8,75,83,0,1.465493
1988,4267,8242,0,13,15,99,84,1,18.523709
1988,2782,8408,0,5,3,62,59,1,3.495197
1988,5887,8665,0,-11,-14,55,69,0,-20.780411
1988,7292,8665,0,-8,3,97,94,1,-15.116548
1988,2343,8749,0,-1,10,63,53,1,6.415183
1988,3135,8749,0,-7,-21,53,74,0,-2.939428
1988,4403,8749,0,-15,-14,73,87,0,-19.629275
1988,7360,8749,0,-12,-22,47,69,0,-14.698137
1988,3923,9632,0,-1,18,104,86,1,3.898001
1988,5448,9632,0,-9,-4,50,54,0,-11.040252
1988,3748,9734,0,11,9,81,72,1,18.848682
1988,9955,9802,0,3,3,80,77,1,2.492525
1988,7962,9850,0,1,16,80,64,1,4.052266
1988,4152,9955,0,1,13,77,64,1,-0.520233
1988,7003,9955,0,5,-6,74,80,0,2.695333
1988,9802,9955,0,-3,-3,77,80,0,-2.492525
1988,413,10023,0,-5,-8,74,82,0,-1.713901
1988,3748,10023,0,3,-3,63,66,0,9.061908
1988,4267,10023,0,4,-6,74,80,0,6.576106
1988,6667,10023,0,5,19,78,59,1,16.480512
1988,2207,10567,0,7,21,83,62,1,3.455609
1988,4633,10755,0,-3,4,119,115,1,-1.149895
1988,4152,10789,0,5,13,85,72,1,3.848406
1989,8097,77,0,-5,2,86,84,1,3.395341
1989,1520,292,0,-8,-26,68,94,0,-16.869252
1989,7429,292,0,-15,-34,60,94,0,-37.375623
1989,9633,292,0,-3,1,68,67,1,-10.646766
1989,4600,360,0,9,5,76,71,1,7.979328
1989,4600,414,0,1,9,93,84,1,0.524036
